Date,Open,High,Low,Close,Volume
2021-01-01,72.18470,77.38339,72.04589,76.41861,12335845
2021-01-04,81.20083,81.20083,78.29263,79.41010,10342925
2021-01-05,77.56385,79.41011,77.04328,77.48750,3729224
2021-01-06,79.81961,80.17359,77.73736,78.70213,6283154
2021-01-07,79.81960,79.81960,76.42553,77.79288,4186488
2021-01-08,78.07051,79.36844,77.45971,79.03529,2002265
2021-01-11,80.51369,80.65250,78.43838,78.83401,2984995
2021-01-12,78.84788,80.79131,78.61189,80.29157,4045190
2021-01-13,81.27720,81.90187,79.59057,80.43736,2968465
2021-01-14,80.16665,80.34017,78.70907,78.88953,1674716
2021-01-15,79.32681,79.47256,78.75072,78.83401,1159144
2021-01-18,78.14684,78.36201,76.64068,76.96690,1847870
2021-01-19,76.34920,80.16666,75.87028,78.06359,3553715
2021-01-20,78.08441,78.08441,76.03687,76.41861,4157517
2021-01-21,76.34919,77.39031,76.34919,76.61294,1032668
2021-01-22,76.59211,76.93915,75.72451,76.04379,1769105
2021-01-25,76.21037,76.62682,75.13454,75.34277,1688323
2021-01-26,75.44688,76.00215,74.89162,75.15536,2174183
2021-01-27,75.30806,76.00215,74.82221,75.23171,2304601
2021-01-28,74.96101,75.30805,73.91989,74.06564,1992542
2021-01-29,73.74638,75.51630,73.71168,74.24612,4108810
2021-02-01,74.61397,75.02347,73.74636,73.91294,2035450
2021-02-02,74.96102,76.73093,74.05871,75.72451,4178836
2021-02-03,77.04328,77.18210,75.93275,76.63377,3572963
2021-02-04,79.19494,79.81267,78.04970,78.61191,7448787
2021-02-05,78.61191,78.61191,78.61191,78.61191,0
2021-02-08,79.47255,80.50673,78.77847,79.00057,2682481
2021-02-09,80.16664,80.30546,79.26433,79.37539,1829674
2021-02-10,79.13246,79.29210,77.70959,77.80676,1866865
2021-02-11,78.25793,78.43145,76.35614,77.31397,2177397
2021-02-12,77.39031,77.39031,74.78750,75.34277,1470778
2021-02-15,77.72348,78.77154,76.45331,77.90394,4335688
2021-02-16,78.43144,80.13194,77.74430,79.04917,7213885
2021-02-17,79.43787,79.43787,77.74431,78.00111,1318862
2021-02-18,78.77848,78.77848,76.80729,77.04327,1081394
2021-02-19,76.45330,77.34173,76.28672,76.97386,1031407
2021-02-22,77.32090,77.38337,75.13454,75.37746,1957035
2021-02-23,76.69623,76.97387,75.93274,76.10626,1585099
